Transaction Amount,Quantity,Customer Age,Is Fraudulent,Account Age Days,Transaction Hour,Payment Method_bank transfer,Payment Method_credit card,Payment Method_debit card,Device Used_mobile,Device Used_tablet,Product Category_electronics,Product Category_health & beauty,Product Category_home & garden,Product Category_toys & games
350.83,5,31,0,21,11,False,False,True,False,False,False,False,False,True
81.34,5,43,0,55,6,False,False,True,False,True,False,True,False,False
498.33,1,21,0,312,23,False,True,False,False,True,False,True,False,False
105.37,4,19,0,71,2,False,False,False,True,False,False,False,False,True
155.16,5,40,0,265,23,False,True,False,False,False,True,False,False,False
237.75,5,42,0,178,20,False,True,False,False,True,True,False,False,False
148.91,5,39,0,160,18,False,False,False,True,False,False,False,False,True
168.73,1,55,0,169,10,True,False,False,True,False,True,False,False,False
101.92,4,40,0,242,3,True,False,False,True,False,True,False,False,False
144.33,4,31,0,334,18,False,False,True,False,False,False,False,False,False
64.01,5,38,0,187,2,True,False,False,False,False,False,False,False,True
354.07,3,20,0,329,5,False,True,False,True,False,True,False,False,False
51.49,2,32,0,305,8,False,False,False,True,False,False,False,False,False
422.36,3,42,0,94,20,True,False,False,False,True,False,True,False,False
48.91,5,44,0,360,17,False,True,False,False,True,False,False,True,False
338.31,4,35,0,59,23,True,False,False,True,False,False,True,False,False
211.31,3,26,0,54,9,False,False,False,False,False,False,True,False,False
173.48,2,57,0,233,3,False,False,False,False,True,False,True,False,False
837.56,1,46,0,270,12,False,False,False,True,False,False,False,True,False
421.11,2,45,0,216,22,False,False,True,True,False,False,False,False,False
116.54,4,34,0,293,0,False,True,False,True,False,True,False,False,False
64.86,1,43,0,126,4,False,False,False,False,False,False,False,False,True
22.18,2,44,0,140,13,False,False,True,True,False,False,True,False,False
185.6,2,29,0,190,4,False,True,False,False,False,False,False,True,False
26.89,4,16,0,113,0,False,True,False,True,False,False,True,False,False
202.23,1,44,0,357,15,True,False,False,True,False,False,False,False,True
61.01,1,42,0,319,21,False,False,True,False,True,False,False,True,False
105.42,3,41,0,274,20,False,True,False,False,True,False,True,False,False
249.04,1,57,0,187,8,False,True,False,False,False,False,False,False,False
28.06,2,35,0,85,1,False,False,True,False,True,False,False,True,False
159.33,4,26,0,272,14,True,False,False,False,False,True,False,False,False
96.13,1,43,0,318,20,False,False,True,False,True,True,False,False,False
145.54,4,40,0,21,10,False,False,False,False,True,False,True,False,False
82.8,4,25,0,55,14,True,False,False,False,True,False,False,False,True
31.9,4,34,0,294,7,False,True,False,False,True,True,False,False,False
92.42,2,24,0,4,8,False,True,False,False,True,False,True,False,False
602.07,5,44,0,362,10,False,False,True,True,False,False,True,False,False
24.94,4,23,0,322,6,False,False,False,True,False,False,True,False,False
308.26,4,32,0,198,5,True,False,False,True,False,False,False,False,True
120.44,3,45,0,291,18,False,True,False,True,False,True,False,False,False
323.71,2,23,0,56,23,True,False,False,False,True,False,False,False,False
478.39,2,26,0,318,17,True,False,False,True,False,True,False,False,False
20.3,4,39,0,351,2,False,False,False,False,True,False,False,False,False
713.67,2,27,0,99,19,False,False,True,False,False,False,False,False,True
29.1,5,52,0,105,1,False,False,False,True,False,True,False,False,False
87.81,3,17,0,21,18,False,False,True,False,False,False,False,True,False
728.42,1,49,0,37,6,False,False,True,False,True,False,False,True,False
153.7,1,42,0,122,5,True,False,False,False,True,False,False,True,False
28.08,2,38,0,9,15,True,False,False,True,False,False,True,False,False
57.17,2,21,0,147,7,False,False,True,False,False,False,False,False,False
134.39,5,38,0,241,2,False,True,False,False,True,False,True,False,False
116.21,2,39,0,48,4,False,False,False,True,False,False,False,False,True
232.84,3,31,0,340,0,False,False,True,True,False,False,False,False,True
529.67,3,55,0,101,12,False,False,True,False,False,False,False,True,False
233.87,5,35,0,192,11,False,False,False,False,True,False,False,True,False
88.78,4,35,0,56,21,True,False,False,True,False,False,False,False,True
32.89,5,40,0,43,1,False,False,False,False,True,True,False,False,False
306.81,3,32,0,59,18,False,False,True,False,True,True,False,False,False
12.41,4,28,0,304,9,False,False,True,True,False,False,False,False,True
98.74,1,41,0,13,3,False,False,False,True,False,False,False,False,True
310.16,5,46,1,22,2,False,True,False,False,False,True,False,False,False
119.43,1,6,0,193,1,False,False,True,True,False,False,False,True,False
637.75,5,11,1,28,0,False,False,False,False,False,False,False,False,True
35.16,5,45,0,141,3,True,False,False,False,False,True,False,False,False
87.83,2,32,0,109,15,False,False,False,True,False,True,False,False,False
155.05,4,27,0,128,21,False,True,False,False,True,False,True,False,False
249.49,2,33,0,190,2,True,False,False,False,True,False,False,True,False
320.46,1,14,0,149,14,False,True,False,False,False,False,False,True,False
127.29,4,51,0,287,5,False,False,False,True,False,False,False,False,True
41.34,4,46,0,340,3,False,True,False,False,False,True,False,False,False
66.41,4,33,0,310,23,True,False,False,False,True,False,False,False,False
141.31,2,40,0,44,8,False,True,False,False,True,False,True,False,False
24.2,5,48,0,218,0,False,True,False,True,False,False,False,False,True
321.1,4,34,0,17,16,False,False,False,False,True,False,False,False,True
441.88,5,35,0,292,13,False,True,False,False,True,False,True,False,False
84.97,1,44,0,253,10,True,False,False,False,False,False,False,False,False
181.94,4,42,0,299,20,False,False,False,False,True,True,False,False,False
283.59,4,13,0,312,4,False,False,True,True,False,True,False,False,False
105.43,2,20,0,341,7,False,False,True,False,False,False,True,False,False
35.91,2,15,0,133,17,False,False,False,False,True,False,True,False,False
249.62,3,48,0,152,18,True,False,False,True,False,True,False,False,False
69.15,2,50,0,98,1,False,False,True,True,False,False,False,False,True
45.48,2,34,0,30,21,True,False,False,False,True,False,True,False,False
38.76,2,33,0,83,14,False,False,False,True,False,False,True,False,False
637.25,1,53,1,263,8,False,False,False,False,False,False,False,True,False
86.03,3,31,0,359,18,False,False,True,False,True,True,False,False,False
123.94,3,34,0,17,3,False,False,False,True,False,False,False,True,False
381.99,2,20,0,31,18,True,False,False,True,False,False,False,False,True
860.96,1,27,0,174,11,False,False,False,True,False,False,False,True,False
27.98,1,33,0,51,21,False,False,False,False,False,False,True,False,False
66.49,5,25,0,239,13,True,False,False,True,False,False,False,False,True
898.19,3,24,0,116,1,True,False,False,True,False,False,False,False,True
160.59,4,29,0,88,4,False,True,False,False,True,False,False,False,True
103.4,5,26,0,151,1,False,False,False,False,True,False,False,True,False
195.26,4,22,0,331,12,True,False,False,False,True,False,False,False,True
1863.4,4,43,1,16,10,False,False,True,True,False,False,False,False,False
32.7,4,36,0,222,16,False,False,True,False,True,False,False,False,True
325.2,3,38,0,1,6,True,False,False,False,True,False,False,False,False
889.6500000000001,4,23,1,191,15,True,False,False,True,False,False,False,True,False
86.66,5,29,0,209,8,False,True,False,False,True,False,False,False,True
332.29,5,40,0,342,7,True,False,False,True,False,False,False,False,True
237.47,5,51,0,124,5,False,False,False,True,False,False,False,True,False
26.8,3,33,0,325,21,False,False,False,False,False,False,False,True,False
61.9,5,39,0,100,18,False,False,True,False,True,False,False,False,True
342.18,3,28,0,194,18,False,False,True,False,False,True,False,False,False
54.51,1,33,0,202,1,False,True,False,False,True,False,True,False,False
459.58,3,32,0,262,19,False,True,False,True,False,False,False,False,False
674.99,4,32,0,3,2,False,False,True,False,False,False,False,True,False
267.88,1,33,0,336,2,False,False,False,True,False,True,False,False,False
191.31,5,49,0,261,8,True,False,False,False,False,False,True,False,False
26.69,4,31,0,357,21,True,False,False,False,True,False,True,False,False
113.66,3,35,0,194,22,True,False,False,False,False,False,False,False,False
223.93,2,51,0,229,16,False,False,False,False,False,True,False,False,False
421.36,4,37,0,358,7,False,False,True,False,True,True,False,False,False
521.62,3,31,0,250,15,False,False,False,False,False,False,True,False,False
320.88,3,50,0,343,2,False,True,False,False,True,True,False,False,False
183.36,4,33,0,236,9,False,False,True,True,False,False,False,True,False
240.66,3,21,0,238,20,False,True,False,False,False,False,True,False,False
359.56,1,32,0,59,11,True,False,False,True,False,False,True,False,False
188.61,1,27,0,174,15,True,False,False,False,True,False,False,True,False
59.83,5,28,0,32,8,True,False,False,False,False,False,False,True,False
360.31,5,35,0,363,8,False,False,False,False,False,False,True,False,False
435.65,4,21,0,277,14,False,False,True,False,False,False,True,False,False
60.17,1,63,0,336,5,False,False,True,False,False,False,False,False,False
189.33,2,30,0,106,3,False,False,True,True,False,False,False,False,False
484.5,4,13,0,86,11,False,True,False,True,False,False,False,False,False
103.69,2,24,0,274,3,False,False,True,False,True,True,False,False,False
52.2,1,38,0,97,11,False,True,False,False,True,False,True,False,False
271.47,2,36,0,331,9,True,False,False,True,False,True,False,False,False
56.26,2,38,0,175,1,False,False,True,True,False,False,False,False,True
352.58,4,39,0,356,2,False,False,True,False,True,True,False,False,False
227.23,1,23,0,25,1,False,False,False,False,False,False,False,True,False
425.35,2,16,0,214,16,False,True,False,False,False,False,False,False,False
256.0,5,45,0,164,22,False,True,False,True,False,False,False,True,False
261.67,2,8,0,235,3,False,False,False,False,False,False,False,False,True
20.0,5,38,0,237,3,False,False,False,True,False,False,False,True,False
93.12,1,33,0,231,19,False,False,True,True,False,False,False,True,False
138.45,1,17,0,127,16,True,False,False,False,True,False,True,False,False
1134.95,1,33,1,11,6,False,True,False,False,True,False,False,True,False
94.54,3,42,0,25,22,False,False,False,False,True,True,False,False,False
149.89,2,34,0,268,12,False,True,False,False,True,True,False,False,False
230.35,2,40,0,3,14,False,False,False,False,True,False,False,False,True
626.09,3,38,0,302,20,False,True,False,True,False,False,False,False,False
50.06,5,34,0,216,16,False,True,False,False,True,False,False,False,False
244.7,3,29,0,120,6,False,True,False,False,False,False,False,True,False
164.35,5,30,0,290,6,False,True,False,False,False,False,False,True,False
124.33,5,54,0,177,0,False,False,False,False,False,False,False,False,True
66.68,2,18,0,358,22,False,False,False,True,False,False,False,False,False
1770.4499999999998,1,55,1,257,4,False,False,False,True,False,True,False,False,False
198.69,2,31,0,19,0,False,True,False,True,False,False,False,False,True
323.2,2,22,0,48,7,True,False,False,False,False,False,True,False,False
211.3,2,38,0,148,12,False,True,False,False,True,True,False,False,False
47.45,2,35,0,79,3,True,False,False,False,True,False,True,False,False
54.61,1,45,0,34,6,False,True,False,False,True,False,False,True,False
309.7,4,29,0,308,9,False,False,False,False,False,True,False,False,False
86.77,2,40,0,222,18,False,False,True,True,False,False,False,False,True
468.31,5,42,0,343,22,True,False,False,False,True,False,False,False,True
25.79,4,32,0,75,18,True,False,False,True,False,False,False,False,False
34.94,2,23,0,137,13,False,False,False,True,False,False,False,True,False
412.79,2,44,0,3,13,False,False,False,False,False,True,False,False,False
32.11,4,29,0,295,3,False,False,False,False,False,False,False,True,False
87.12,1,47,0,101,1,False,False,True,False,True,False,False,False,False
51.59,5,37,0,46,19,False,False,True,True,False,False,False,False,False
262.62,1,45,0,364,18,True,False,False,False,True,False,False,True,False
53.1,1,32,0,125,14,False,True,False,False,True,True,False,False,False
130.19,3,35,0,74,18,False,True,False,False,False,True,False,False,False
236.14,1,50,0,170,22,False,True,False,True,False,False,False,False,True
149.34,4,59,0,15,22,True,False,False,False,True,False,False,True,False
260.13,3,39,0,71,15,False,False,True,False,False,False,False,True,False
273.54,5,20,0,216,11,False,False,True,False,False,True,False,False,False
499.65,3,48,0,73,21,True,False,False,True,False,False,False,False,True
273.62,1,47,0,234,15,False,False,False,False,False,True,False,False,False
41.79,3,39,0,342,7,False,False,False,True,False,False,False,False,False
206.25,2,60,0,176,21,True,False,False,True,False,False,True,False,False
255.51,3,39,0,28,11,False,False,True,False,False,False,False,False,False
504.31,5,30,0,322,20,False,False,False,False,False,False,False,False,False
187.14,1,28,0,266,16,False,False,True,True,False,False,True,False,False
229.08,5,43,0,351,12,False,False,False,True,False,False,False,True,False
74.0,5,52,0,259,6,False,False,False,False,True,False,False,False,False
144.42,3,30,0,255,3,False,False,True,False,True,False,False,False,False
112.9,4,27,0,338,7,False,False,False,False,False,True,False,False,False
327.46,2,30,0,87,2,False,True,False,True,False,False,True,False,False
352.71,1,52,0,354,17,False,False,False,False,False,True,False,False,False
488.57,1,35,0,120,11,True,False,False,False,False,False,False,False,False
345.6,5,27,0,15,14,False,False,True,False,False,True,False,False,False
417.29,4,24,0,100,22,False,False,False,False,True,True,False,False,False
136.98,5,19,0,137,21,False,False,True,False,True,False,False,False,False
157.77,4,30,0,266,5,False,True,False,True,False,False,False,False,True
209.76,4,27,0,40,4,False,False,True,True,False,False,False,False,False
549.96,3,29,0,298,19,False,True,False,True,False,False,False,True,False
36.53,3,40,0,246,8,False,False,True,True,False,True,False,False,False
239.8,3,34,0,332,6,True,False,False,False,False,False,False,True,False
103.94,2,34,0,171,20,False,False,False,True,False,False,False,True,False
300.37,3,32,0,109,19,False,False,True,False,False,False,False,True,False
270.8,5,31,0,242,4,False,False,False,True,False,False,False,False,False
228.81,4,33,0,268,15,False,True,False,False,False,False,False,False,True
97.3,4,31,0,21,14,False,False,True,True,False,False,False,False,False
249.15,4,33,0,77,9,False,False,True,True,False,False,True,False,False
28.23,1,47,0,234,12,False,False,True,False,True,True,False,False,False
419.48,1,37,0,185,20,False,False,False,False,False,False,False,True,False
141.45,2,43,0,191,1,False,False,True,False,False,True,False,False,False
325.95,5,18,0,112,23,False,False,False,False,True,True,False,False,False
172.78,1,37,0,236,11,False,False,True,False,True,False,False,False,True
241.01,1,36,0,15,5,False,True,False,False,True,True,False,False,False
658.29,1,26,0,306,19,False,False,False,True,False,False,False,False,True
218.94,4,27,0,117,11,False,True,False,False,False,True,False,False,False
104.9,1,36,0,52,7,False,True,False,False,True,False,False,False,False
19.9,4,13,0,149,12,True,False,False,False,True,False,False,True,False
319.28,2,41,0,248,2,True,False,False,False,True,False,False,True,False
236.44,4,37,0,147,4,False,False,True,True,False,False,True,False,False
51.33,5,34,0,52,0,False,True,False,True,False,False,True,False,False
315.59,1,24,0,75,9,False,True,False,True,False,False,False,True,False
257.83,1,26,0,354,23,True,False,False,False,False,True,False,False,False
153.54,1,15,0,170,15,False,False,True,False,True,False,False,False,False
96.37,3,28,0,117,21,True,False,False,True,False,False,True,False,False
74.59,3,44,0,68,6,False,True,False,False,True,False,False,True,False
1193.1999999999998,1,53,1,119,18,True,False,False,False,True,False,False,False,True
301.53,5,28,0,330,15,True,False,False,False,True,True,False,False,False
50.8,1,36,0,306,15,False,True,False,False,False,False,False,True,False
103.4,4,38,0,21,22,False,True,False,False,False,False,False,False,True
74.02,1,44,0,30,5,False,True,False,False,True,False,True,False,False
369.52,2,25,0,302,3,True,False,False,False,False,False,True,False,False
201.36,5,35,0,349,5,True,False,False,True,False,False,True,False,False
357.12,3,31,0,155,15,False,False,True,False,True,True,False,False,False
47.03,4,35,0,17,15,False,False,False,False,True,True,False,False,False
295.48,5,24,0,100,2,False,False,True,False,False,False,True,False,False
74.02,1,32,0,171,16,False,False,False,False,True,True,False,False,False
27.16,5,39,0,239,16,False,False,False,True,False,False,True,False,False
71.8,3,47,0,83,13,False,False,False,False,True,False,False,True,False
63.35,4,22,0,103,8,False,False,False,True,False,False,False,True,False
15.29,1,47,0,255,22,True,False,False,False,True,False,False,True,False
29.92,3,38,0,25,18,False,False,False,False,True,False,True,False,False
159.43,2,29,0,237,21,False,False,False,False,False,False,True,False,False
81.9,3,45,0,304,13,False,True,False,True,False,False,False,False,True
164.82,3,42,0,169,17,False,True,False,True,False,True,False,False,False
67.3,1,49,0,333,15,False,False,False,True,False,False,False,False,True
148.1,2,42,0,300,9,True,False,False,False,True,False,False,False,False
22.66,3,38,0,161,21,True,False,False,True,False,False,False,False,False
212.11,4,27,0,172,0,True,False,False,True,False,False,False,False,True
171.83,4,42,0,251,2,False,False,False,False,False,False,False,False,True
362.31,1,41,0,123,17,True,False,False,False,False,False,False,False,True
125.59,5,34,0,253,11,True,False,False,False,False,False,False,False,True
191.77,5,20,0,316,2,False,False,False,False,True,True,False,False,False
35.92,1,30,1,37,21,False,True,False,False,True,False,True,False,False
57.38,5,31,0,259,2,False,False,False,False,False,True,False,False,False
926.19,2,29,0,226,10,False,False,False,True,False,False,True,False,False
163.74,2,47,0,71,17,False,False,False,False,False,True,False,False,False
574.25,3,45,0,117,0,False,True,False,False,False,False,False,True,False
132.68,1,31,1,129,20,True,False,False,True,False,False,False,True,False
329.29,5,44,0,56,6,True,False,False,True,False,False,False,True,False
39.43,4,31,0,98,4,False,False,False,False,False,False,False,False,False
544.44,4,37,0,222,19,True,False,False,False,True,False,False,True,False
224.6,2,16,0,83,15,False,False,True,False,True,False,False,True,False
347.11,5,23,0,259,12,True,False,False,False,False,False,False,False,False
66.78,5,40,0,19,17,True,False,False,False,False,True,False,False,False
78.88,2,38,0,192,2,True,False,False,True,False,False,False,True,False
33.71,4,39,0,74,10,True,False,False,False,True,True,False,False,False
148.62,2,13,0,232,23,True,False,False,True,False,True,False,False,False
17.85,3,24,0,160,16,False,False,False,False,False,False,True,False,False
58.81,4,42,0,348,4,False,False,True,True,False,False,False,False,True
461.77,2,31,0,359,7,False,False,False,False,True,True,False,False,False
365.38,2,42,0,344,3,False,True,False,True,False,True,False,False,False
115.83,5,37,0,340,22,False,False,False,False,True,False,True,False,False
97.93,2,18,0,29,21,False,True,False,False,True,False,False,True,False
26.14,3,31,0,11,4,False,True,False,False,True,False,False,False,True
753.06,5,28,0,208,10,False,False,False,True,False,False,False,False,True
208.79,5,45,0,114,19,False,True,False,False,False,False,False,True,False
124.29,1,45,0,8,18,False,False,True,False,True,True,False,False,False
560.8,3,22,1,249,3,True,False,False,False,False,False,False,True,False
362.3,1,24,0,52,19,False,False,True,False,False,True,False,False,False
10.18,2,20,0,175,7,False,False,False,True,False,False,False,False,True
593.78,5,50,0,209,1,False,False,False,True,False,False,False,True,False
30.06,4,15,0,83,10,True,False,False,False,True,True,False,False,False
198.48,1,54,0,338,3,False,True,False,False,True,True,False,False,False
351.89,4,29,0,83,3,False,True,False,False,False,False,False,True,False
240.01,3,35,0,47,14,False,False,True,False,True,False,False,True,False
120.05,3,31,0,67,14,False,False,False,True,False,False,True,False,False
174.16,5,25,0,301,12,False,True,False,False,False,False,True,False,False
389.73,1,50,0,43,19,False,True,False,True,False,False,False,False,True
16.99,5,29,0,259,7,False,False,True,True,False,True,False,False,False
666.18,2,36,1,291,20,False,True,False,True,False,False,True,False,False
39.92,3,52,0,106,5,False,True,False,False,True,False,False,True,False
43.33,3,25,0,347,18,True,False,False,False,False,False,False,True,False
241.54,2,40,0,317,9,False,True,False,True,False,False,False,False,True
105.24,3,26,1,14,8,True,False,False,True,False,True,False,False,False
93.86,5,25,0,358,7,False,False,True,False,False,False,False,False,False
778.78,4,20,0,273,19,True,False,False,False,True,False,False,True,False
221.07,5,59,0,319,5,False,False,True,True,False,False,False,True,False
48.99,1,37,0,81,15,False,False,False,True,False,False,False,True,False
350.97,1,53,1,265,2,False,True,False,False,True,False,True,False,False
249.17,1,24,0,190,12,False,False,False,False,False,True,False,False,False
77.17,5,37,0,67,13,True,False,False,False,False,False,False,False,False
330.56,2,54,0,133,5,False,True,False,True,False,False,False,False,True
117.04,2,18,0,339,1,False,False,True,True,False,False,True,False,False
159.82,2,22,0,169,13,False,True,False,False,False,False,True,False,False
239.31,5,47,0,229,2,False,True,False,False,False,False,True,False,False
15.38,4,30,0,262,13,False,False,False,False,False,False,False,False,False
757.65,3,35,1,101,16,False,False,True,False,False,False,False,False,True
142.54,3,44,0,272,22,True,False,False,False,True,False,True,False,False
170.05,2,39,0,181,11,False,False,False,False,True,True,False,False,False
48.43,3,33,0,308,22,False,True,False,False,False,False,False,True,False
136.76,3,36,0,23,12,True,False,False,False,False,True,False,False,False
414.01,4,45,0,339,11,False,True,False,False,False,False,False,False,False
324.8,5,26,0,349,23,False,True,False,True,False,False,False,True,False
13.88,2,24,0,328,23,True,False,False,True,False,True,False,False,False
295.07,4,35,0,74,9,False,False,True,False,True,False,True,False,False
525.33,5,32,1,12,5,False,False,True,True,False,False,False,True,False
106.05,3,32,1,1,17,False,True,False,True,False,False,True,False,False
96.28,3,45,0,52,20,False,False,False,True,False,False,False,False,True
204.64,1,41,0,237,22,True,False,False,True,False,False,True,False,False
22.03,4,47,0,192,22,False,False,False,False,False,False,False,False,False
365.05,1,31,0,309,13,False,True,False,False,True,False,False,False,False
92.63,3,30,0,280,15,False,True,False,True,False,False,False,False,True
658.29,5,28,0,198,4,False,True,False,True,False,False,False,False,True
3216.45,1,17,1,26,14,True,False,False,True,False,False,True,False,False
151.97,4,34,0,60,12,False,True,False,False,False,False,True,False,False
389.49,1,37,0,82,9,True,False,False,False,True,False,False,False,True
127.12,1,40,0,30,16,False,False,False,False,True,False,False,True,False
13.08,3,43,0,91,23,False,False,True,False,False,False,False,False,True
79.45,4,33,0,262,14,False,True,False,True,False,False,False,False,False
693.87,4,42,0,14,18,False,False,True,True,False,False,True,False,False
1180.4,3,26,1,291,14,False,False,True,False,False,False,True,False,False
275.27,5,23,0,23,2,False,False,True,False,True,False,False,False,False
201.71,1,22,0,172,1,True,False,False,False,False,True,False,False,False
53.5,4,29,1,330,4,False,False,False,False,True,False,False,False,False
95.82,2,19,0,202,3,False,True,False,True,False,False,False,False,False
55.63,3,41,0,179,14,False,True,False,False,False,False,False,False,False
259.4,1,43,0,115,18,False,False,True,True,False,False,False,False,True
34.71,5,40,0,133,18,False,False,True,False,True,False,False,False,True
201.21,4,53,0,260,1,False,False,True,False,False,True,False,False,False
207.4,1,24,0,55,14,False,True,False,False,True,False,True,False,False
41.23,3,42,0,248,22,False,True,False,False,False,False,True,False,False
172.67,2,37,0,93,12,False,False,True,True,False,False,False,True,False
130.21,1,43,0,113,19,False,False,True,False,True,False,True,False,False
387.0,1,26,0,4,19,True,False,False,False,True,False,False,False,False
369.75,2,40,0,21,2,False,False,False,True,False,False,False,False,False
240.12,5,35,0,108,7,False,True,False,False,False,False,False,False,False
35.0,5,35,0,150,14,False,True,False,False,True,True,False,False,False
43.4,4,32,0,295,23,False,True,False,False,True,True,False,False,False
482.66,1,44,0,132,16,False,False,False,False,True,False,False,False,True
17.25,1,30,0,124,14,False,False,False,False,True,False,False,False,True
113.25,5,38,0,73,11,False,False,True,True,False,False,False,False,False
57.07,5,45,0,282,9,False,True,False,True,False,False,False,False,False
28.66,3,33,0,151,13,True,False,False,True,False,True,False,False,False
18.03,3,45,0,91,8,False,False,True,False,True,False,True,False,False
530.01,2,39,0,82,8,False,False,True,False,False,False,False,False,True
78.78,1,47,0,17,23,False,False,True,True,False,False,True,False,False
87.15,3,47,0,216,0,False,True,False,False,False,False,True,False,False
129.1,3,38,0,123,13,False,False,True,True,False,True,False,False,False
204.54,5,25,0,103,6,False,False,False,False,False,False,True,False,False
98.42,5,44,0,204,16,False,False,True,False,False,False,False,True,False
420.43,4,39,0,241,0,False,False,True,False,False,True,False,False,False
371.06,4,32,0,18,5,False,True,False,False,False,False,False,False,False
519.01,3,29,0,246,8,False,True,False,False,True,False,False,False,True
26.22,3,24,0,328,2,False,False,False,True,False,False,False,False,False
425.31,2,45,0,5,22,True,False,False,True,False,False,False,True,False
63.39,1,28,0,212,9,False,True,False,False,False,False,True,False,False
134.04,1,34,0,344,9,False,False,True,True,False,False,False,False,True
103.07,3,32,0,156,14,True,False,False,False,True,True,False,False,False
46.62,2,40,0,30,5,True,False,False,False,False,True,False,False,False
118.42,4,25,0,321,10,True,False,False,True,False,False,False,True,False
329.22,5,40,0,308,6,False,True,False,False,False,False,False,False,False
61.6,2,32,0,230,12,True,False,False,True,False,False,True,False,False
33.82,5,34,0,72,7,False,True,False,True,False,False,False,True,False
86.71,1,18,0,113,23,False,False,False,True,False,True,False,False,False
14.22,3,45,0,98,5,False,False,False,False,True,True,False,False,False
182.79,1,39,0,122,19,False,True,False,True,False,False,False,False,False
239.62,3,26,1,235,2,True,False,False,True,False,False,False,False,True
202.21,5,35,0,199,15,False,False,False,False,True,False,True,False,False
132.31,4,37,0,306,0,True,False,False,False,True,True,False,False,False
190.09,2,43,0,241,15,False,False,False,False,False,True,False,False,False
32.3,1,32,0,200,0,False,False,True,False,True,False,False,False,True
178.77,4,41,0,229,3,False,False,True,True,False,True,False,False,False
227.77,4,21,0,218,16,False,False,True,False,False,False,False,False,True
179.47,2,45,0,293,13,False,False,False,False,False,False,True,False,False
202.81,4,22,0,25,14,True,False,False,False,False,False,False,False,False
77.82,1,28,0,85,1,False,True,False,True,False,False,False,False,True
11.42,5,63,0,65,20,False,False,True,True,False,False,True,False,False
30.7,5,43,0,198,14,True,False,False,True,False,False,False,False,False
228.93,1,25,0,217,20,False,True,False,True,False,False,True,False,False
245.55,1,36,0,148,6,False,False,True,True,False,False,False,True,False
122.96,2,49,0,323,6,False,False,False,False,True,True,False,False,False
